SY070500,Ariha
SY040107,Mahin
SY040109,Sadad
SY040106,Qaryatein
SY040110,Qabu
SY040111,Shin
SY040108,Hasyaa
SY120300,Izra'
SY120301,Jasim
SY120302,Hrak
SY120303,Nawa
SY120304,Sheikh Miskine
SY120305,Tassil
SY120200,As-Sanamayn
SY120201,Masmiyyeh
SY120202,Ghabagheb
SY120000,Dar'a
SY120001,Busra Esh-Sham
SY120002,Kherbet Ghazala
SY120003,Ash-Shajara
SY120004,Da'el
SY120005,Mzeireb
SY120006,Jizeh
SY120007,Mseifra
SY090200,Abu Kamal
SY090201,Hajin
SY090202,Jalaa
SY090203,Susat
SY090300,Al Mayadin
SY090301,Thiban
SY090302,Ashara
SY090100,Deir-ez-Zor
SY090101,Kisreh
SY090102,Basira
SY090103,Muhasan
SY090104,Tabni
SY090105,Khasham
SY090106,Sur
SY030400,At Tall
SY030401,Sidnaya
SY030402,Rankus
SY030700,Az-Zabdani
SY030701,Dimas
SY030702,Ein Elfijeh
SY030703,Madaya
SY030704,Sarghaya
SY030300,Al Qutayfah
SY030301,Jirud
SY030302,Ma'loula
SY030303,Raheiba
SY030600,An Nabk
SY030601,Deir Attiyeh
SY030900,Markaz Darayya
SY030901,Sahnaya
SY030902,Hajar Aswad
SY030200,Duma
SY030201,Harasta
SY030202,Sabe Byar
SY030203,Dhameer
SY030204,Nashabiyeh
SY030205,Ghizlaniyyeh
SY030206,Haran Al'awameed
SY030800,Qatana
SY030802,Sa'sa'
SY030801,Bait Jan
SY030101,Kisweh
SY030102,Babella
SY030103,Jaramana
SY030104,Maliha
SY030105,Kafr Batna
SY030106,Arbin
SY030107,Qudsiya
SY030500,Yabroud
SY030501,Esal El-Ward
SY100500,Sheikh Badr
SY100502,Qumseyyeh
SY100501,Baramanet Elmashayekh
SY100200,Banyas
SY100201,Rawda
SY100202,Anaza
SY100204,Hamam Wasil
SY100205,Tawahin
SY100206,Taleen
SY100203,Qadmous
SY100400,Dreikish
SY100401,Jneinet Raslan
SY100402,Hamin
SY100403,Dweir Raslan
SY100300,Safita
SY100301,Mashta Elhiu
SY100302,Bariqiyeh
SY100303,Sibbeh
SY100304,Sisniyyeh
SY100305,Ras El-Khashufeh
SY100001,Arwad
SY100000,Tartous
SY100002,Hameidiyyeh
SY100003,Kherbet Elma'aza
SY100004,Soda Khawabi
SY100005,Kareemeh
SY100006,Safsafa
SY010000,Damascus
SY050303,Saboura
